ID,Authors,Title,Venue,Venue Type,Year,Source (query/snowballing),Origin Paper,Snowballing Direction: (F)oward or (B)ackwards,Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Exclusion Criterion 7,Snowballing applied?,Notes
238,"Swiderski, Frank and Snyder, Window",Threat Modeling (Microsoft Professional),Microsoft Press,Book,2004,S,73,B,o,,,,,,x,,,,,,,It's a book
239,"Vall{\'e}e-Rai, Raja and Co, Phong and Gagnon, Etienne and Hendren, Laurie and Lam, Patrick and Sundaresan, Vijay",Soot: A Java bytecode optimization framework,,Thesis,2010,S,73,B,o,,,,,,,,x,,,,,Not peer-reviewed
240,"B. G. Lee, G. H. Lee, Y. H. Shim, and A. Choi",Let developers run into the app store by lowering the barrier&#45;to&#45;entry,Int. J. Electron. Financ,,2010,S,122,B,o,,,,,,,,,,,,,
241,"F. P. Miller, A. F. Vandome, and J. McBrewster","Android (Operating System): Open Handset Alliance, List of Android devices, Mobile operating system, Linux kernel, Google, Java (programming language)","Computer software, Telecommunication",,2009,S,122,B,o,,,,,,,,,,,,,
242,"J. Ledford, B. Zimmerly, and P. Amirthalingam",Web Geek’s Guide to the Android-Enabled Phone,Que Publishing Company,,2009,S,122,B,o,,,,,,,,,,,,,
243,"S. Hashimi, S. Komatineni, and D. MacLean",Pro Android 2,"Berkely, CA, USA: Apress",,2010,S,122,B,o,,,,,,,,,,,,,
244,M. L. Murphy,Android Programming Tutorials: Easy-To-Follow Training-Style Exercises on Android Application Development,"CommonsWare, LLC",,2009,S,122,B,o,,,,,,,,,,,,,
245,A. Sirotkin,The Java API to Android’s telephony stack,Linux J,,2009,S,122,B,o,,,,,,,,,,,,,
246,"T.-M. Grønli, J. Hansen, and G. Ghinea",Android vs Windows Mobile vs Java me: a comparative study of mobile development environments,Proceedings of the 3rd International Conference on PErvasive Technologies Related to Assistive Environments,,2010,S,122,B,o,,,,,,,,,,,,,
247,"B. Wu, A. I. Wang, A. H. Ruud, and W. Z. Zhang",Extending Google Android’s Application as an Educational Tool,Proceedings of the 2010 Third IEEE International Conference on Digital Game and Intelligent Toy Enhanced Learning,,2010,S,122,B,o,,,,,,,,,,,,,
248,T.-W. Chang,Android/OSGi-based Vehicular Network Management System,Proceedings of the 12th International Conference on Advanced Communication Technology,,2010,S,122,B,o,,,,,,,,,,,,,
249,"S. Kumar, M. A. Qadeer, and A. Gupta",Location based services using android,Proceedings of the 3rd IEEE International Conference on Internet Multimedia Services Architecture and Applications,,2009,S,122,B,o,,,,,,,,,,,,,
250,"X. Shu, Z. Du, and R. Chen",Research on mobile location service design based on android,"Proceedings of the 5th International Conference on Wireless Communications, Networking and Mobile Computing",,2009,S,122,B,o,,,,,,,,,,,,,
251,"J. Aguero, M. Rebollo, C. Carrascosa, and V. Juli ¨ an",Towards on ´ embedded agent model for android mobiles,Proceedings of the 5th Annual International Conference on Mobile and Ubiquitous Systems,,2008,S,122,B,o,,,,,,,,,,,,,
252,"P. Meroni, E. Pagani, G. P. Rossi, and L. Valerio",An opportunistic platform for android-based mobile devices,Proceedings of the Second International Workshop on Mobile Opportunistic Networking,,2010,S,122,B,o,,,,,,,,,,,,,
253,"K. Sokolova, M. Lemercier, and L. Garcia",Android Passive MVC: a Novel Architecture Model for the Android Application Development,IARIA,,2013,S,146,B,o,,,,,,,,,,,,,
254,"S. Allen, V. Graupera, and L. Lundrigan","Pro Smartphone CrossPlatform Development: IPhone, Blackberry, Windows Mobile and Android Development and Distribution",Berkely: Apress,,2010,S,146,B,o,,,,,,,,,,,,,
255,D. Mark and J. LaMarche,"More IPhone 3 Development, ser. Tackling Iphone Sdk 3",Berkely: Apress,,2010,S,146,B,o,,,,,,,,,,,,,
256,"J. Steele, N. To, S. Conder, and L. Darcey",The Android Developer’s Collection,Addison-Wesley Professional,,2011,S,146,B,o,,,,,,,,,,,,,
257,B. Foote and J. Yoder,"“Big Ball of Mud,” in Pattern Languages of Program Design",Addison-Wesley,,1997,S,146,B,o,,,,,,,,,,,,,
258,T. Ihme and P. Abrahamsson,The Use of Architectural Patterns in the Agile Software Development of Mobile Applications,ICAM 2005 Internation Conference on Agility,,2005,S,146,B,o,,,,,,,,,,,,,
259,G. Krasner and S. Pope,A description of the model-view-controller user interface paradigm in the smalltalk-80 system,Journal of object oriented programming,,1988,S,146,B,o,,,,,,,,,,,,,
260,"P. Sauter, G. Vogler, G. Specht, and T. Flor",A Model–View–Controller ¨ extension for pervasive multi-client user interfaces,Personal and Ubiquitous Computing,,2005,S,146,B,o,,,,,,,,,,,,,
261,M. Veit and S. Herrmann,Model-view-controller and object teams: a perfect match of paradigms,AOSD ’03: Proceedings of the 2nd international conference on Aspect-oriented software development. ACM Request Permissions,,2003,S,146,B,o,,,,,,,,,,,,,
262,J. Coutaz,PAC,ACM SIGCHI Bulletin,,1987,S,146,B,o,,,,,,,,,,,,,
263,"F. Buschmann, R. Meunier, H. Rohnert, P. Sommerlad, and M. Stal",Pattern-Oriented Software Architecture,"Chichester, UK: Wiley",,1996,S,146,B,o,,,,,,,,,,,,,
264,M. Potel,MVP: Model-View-Presenter the taligent programming model for C++ and Java,Taligent Inc,,1996,S,146,B,o,,,,,,,,,,,,,
265,J. Smith,Wpf apps with the model-view-viewmodel design pattern,MSDN magazine,,2009,S,146,B,o,,,,,,,,,,,,,
266,R. Garofalo,Building Enterprise Applications with Windows Presentation Foundation and the Model View ViewModel Pattern,Microsoft Press,,2011,S,146,B,o,,,,,,,,,,,,,
267,S. McConnell,Tout sur le code : Pour concevoir du logiciel de qualite´ (Everything about code: make software of quality),Dunod,,2005,S,146,B,o,,,,,,,,,,,,,
268,R. Meier,Professional Android 4 Application Development (Wrox Professional Guides),Birmingham: Wrox Press Ltd,,2012,S,146,B,o,,,,,,,,,,,,,
269,I. Salmre,Writing Mobile Code: Essential Software Engineering for Building Mobile Applications,Addison-Wesley Professional,,2005,S,146,B,o,,,,,,,,,,,,,
270,S. Brahler,Analysis of the android architecture,Karlsruher Institute of Technology,,2010,S,146,B,o,,,,,,,,,,,,,
271,F. Garin,Android - Concevoir et developper des applications mobiles ´ et tactiles (Android - Comprehend and develop mobile and tactile applications),Dunod,,2011,S,146,B,o,,,,,,,,,,,,,
272,"E. Gamma, R. Helm, R. Johnson, and J. Vlissides",Design Patterns: Elements of Reusable Object-Oriented Software,AddisonWesley Professional,,1994,S,146,B,o,,,,,,,,,,,,,
273,W.-Y. Kim and S.-G. Park,The 4-tier design pattern for the development of an android application,Lecture Notes in Computer Science,,2011,S,146,B,o,,,,,,,,,,,,,
274,P. D. Sheriff,Fundamentals of N-Tier Architecture,pdsa inc. ed. PDSA Inc.,,2006,S,146,B,o,,,,,,,,,,,,,
275,"M. T. Ionita, D. K. Hammer, and H. Obbink",Scenario-based software architecture evaluation methods: An overview,Workshop on Methods and Techniques for Software Architecture Review and Assessment at the International Conference on Software Engineering,,2002,S,146,B,o,,,,,,,,,,,,,
276,V. Rahimian and R. Ramsin,Designing an agile methodology for mobile software development: A hybrid method engineering approach,Research Challenges in Information Science,,2008,S,146,B,o,,,,,,,,,,,,,
277,P. Abrahamsson et al.,Mobile-D: an agile approach for mobile application development,"OOPSLA ’04: Companion to the 19th annual ACM SIGPLAN conference on Object-oriented programming systems, languages, and applications",,2004,S,146,B,o,,,,,,,,,,,,,
278,H. J. La and S. D. Kim,Balanced MVC Architecture for Developing Service-Based Mobile Applications,"e-Business Engineering (ICEBE), 2010 IEEE 7th International Conference",,2010,S,146,B,o,,,,,,,,,,,,,
279,"A. Papageorgiou, B. Leferink, J. Eckert, N. Repp, and R. Steinmetz",Bridging the gaps towards structured mobile SOA,MoMM ’09: Proceedings of the 7th International Conference on Advances in Mobile Computing and Multimedia,,2009,S,146,B,o,,,,,,,,,,,,,
280,D. Plakalovic and D. Simic,Applying MVC and PAC patterns in mobile applications,Journal of Computing,,2010,S,146,B,o,,,,,,,,,,,,,
281,"D. Zissis, D. Lekkas, and P. Koutsabasis","Design and Development Guidelines for Real-Time, Geospatial Mobile Applications: Lessons from ‘MarineTraffic’","Mobile Web and Information Systems. Berlin, Heidelberg: Springer Berlin Heidelberg",,2013,S,146,B,o,,,,,,,,,,,,,
282,R. Minelli and M. Lanza,Software analytics for mobile applications– insights & lessons learned,European Conference on Software Maintenance and Reengineering (CS ’13). IEEE,,2013,S,149,B,o,,,,,,,,,,,,,
283,"B. Ray, M. Wilcox, and C. Woskoglou",Developer Economics - State of the Developer Nation Q3 2016,"Vision Mobile, London, Tech. Rep",,2015,S,149,B,o,,,,,,,,,,,,,
284,"Y. Tian, M. Nagappan, D. Lo, and A. E. Hassan",What are the characteristics of high-rated apps? a case study on free android applications,International Conference on Software Maintenance and Evolution (ICSME ’15). IEEE,,2015,S,149,B,o,,,,,,,,,,,,,
285,L. M. Northrop,SEI’s software product line tenets,"IEEE software, vol. 19, no. 4, p. 32",,2002,S,149,B,o,,,,,,,,,,,,,
286,P. Clements and L. Northrop,Software product lines,Addison-Wesley,,2002,S,149,B,o,,,,,,,,,,,,,
287,L. Guerrouj and O. Baysal,Investigating the android apps’ success: An empirical study,International Conference on Program Comprehension (ICPC ’16). IEEE,,2016,S,149,B,o,,,,,,,,,,,,,
288,J. Dehlinger and J. Dixon,Mobile application software engineering: Challenges and research directions,"Workshop on Mobile Software Engineering (MobiCASE ’11), vol. 2",,2011,S,149,B,o,,,,,,,,,,,,,
289,"I. J. M. Ruiz, M. Nagappan, B. Adams, and A. E. Hassan",Understanding reuse in the android market,International Conference on Program Comprehension (ICPC ’12). IEEE,,2012,S,149,B,o,,,,,,,,,,,,,
290,"L. Li, J. Martinez, T. Ziadi, T. F. Bissyande, J. Klein, and Y. L. Traon",Mining families of android applications for extractive SPL adoption,International Systems and Software Product Line Conference (SP ’16). ACM,,2016,S,149,B,o,,,,,,,,,,,,,
291,"I. J. Mojica, B. Adams, M. Nagappan, S. Dienst, T. Berger, and A. E. Hassan",A large-scale empirical study on software reuse in mobile apps,"IEEE software, vol. 31, no. 2",,2014,S,149,B,o,,,,,,,,,,,,,
292,D. E. Perry and A. L. Wolf,Foundations for the study of software architecture,"SIGSOFT Softw. Eng. Notes, vol. 17, no. 4",,1992,S,149,B,o,,,,,,,,,,,,,
293,M. Svahnberg and J. Bosch,Issues concerning variability in software product lines,International Workshop on Software Architectures for Product Families (IW-SAPF ’00). Springer,,2000,S,149,B,o,,,,,,,,,,,,,
294,"J. Van Gurp, J. Bosch, and M. Svahnberg",On the notion of variability in software product lines,Working IEEE/IFIP Conference on Software Architecture (WICSA ’01),,2001,S,149,B,o,,,,,,,,,,,,,
295,"E. Gamma, R. Helm, R. Johnson, and J. Vlissides",Design Patterns - Elements of Reusable Object-Oriented Software,Addison-Wesley,,1995,S,149,B,o,,,,,,,,,,,,,
296,W. Frakes and C. Terry,Software reuse: metrics and models,"ACM Computing Surveys (CSUR ’96), vol. 28, no. 2, pp. 415–435",,1996,S,149,B,o,,,,,,,,,,,,,
297,M. Fowler,Patterns of enterprise application architecture,Addison-Wesley,,,S,149,B,o,,,,,,,,,,,,,
298,R. Vergne and P. Barla,"Designing gratin, a gpu-tailored node-based system","Journal of Computer Graphics Techniques, vol. 4, no. 4, p. 17",,2015,S,149,B,o,,,,,,,,,,,,,
299,"C. Kastner, S. Apel, and M. Kuhlemann",Granularity in software ¨ product lines,International Conference on Software Engineering (ICSE ’08). ACM,,2008,S,149,B,o,,,,,,,,,,,,,
300,"A. Semmo, T. Durschmid, M. Trapp, M. Klingbeil, J. D ¨ ollner, and ¨ S. Pasewaldt,",Interactive Image Filtering with Multiple Levels-ofcontrol on Mobile Devices,SIGGRAPH ASIA Mobile Graphics and Interactive Applications (MGIA ’16). ACM,,2016,S,149,B,o,,,,,,,,,,,,,
301,W. Zhang and S. Jarzabek,Reuse without compromising performance: industrial experience from rpg software product line for mobile devices,International Conference on Software Product Lines (SPLC ’05). Springer,,2005,S,149,B,o,,,,,,,,,,,,,
302,A. Jaaksi,Developing mobile browsers in a product line,"IEEE software, vol. 19, no. 4, p. 73",,2002,S,149,B,o,,,,,,,,,,,,,
303,"G. M. Waku, E. R. Bollis, C. M. Rubira, and R. d. S. Torres",A robust software product line architecture for data collection in android platform,"Brazilian Symposium on Components, Architectures and Reuse Software (SBCARS ’15). IEEE",,2015,S,149,B,o,,,,,,,,,,,,,
304,V. Alves et al,Identifying variations in mobile devices,Journal of Object technology,,2004,S,149,B,o,,,,,,,,,,,,,
305,"D. Muthig, I. John, M. Anastasopoulos, T. Forster, J. Dorr, and ¨ K. Schmid",Gophone-a software product line in the mobile phone domain,"IESE-Report No, vol. 25",,2004,S,149,B,o,,,,,,,,,,,,,
306,"R. E. V. Rosa and V. F. Lucena, Jr.",Smart composition of reusable software components in mobile application product lines, International Workshop on Product Line Approaches in Software Engineering (PLEASE ’11). ACM,,2011,S,149,B,o,,,,,,,,,,,,,
307,J. White and D. C. Schmidt,Model-driven product-line architectures for mobile devices,"International Federation of Automatic Control (IFAC ’08), vol. 41, no. 2",,2008,S,149,B,o,,,,,,,,,,,,,
308,"F. Buschmann, R. Meunier, H. Rohnert, P. Sommerlad, and M. Stal","Pattern-oriented software architecture , A system of patterns",Wiley New York,,1996,S,149,B,o,,,,,,,,,,,,,
309,M. Shaw and D. Garlan,Software architecture: perspectives on an emerging discipline,Prentice Hall Englewood Cliffs,,1996,S,149,B,o,,,,,,,,,,,,,
310,"D. C. Schmidt, M. Stal, H. Rohnert, and F. Buschmann","Pattern-Oriented Software Architecture, Patterns for Concurrent and Networked Objects", John Wiley & Sons,,2013,S,149,B,o,,,,,,,,,,,,,
311,"F. Buschmann, K. Henny, and D. C. Schmidt","Pattern-Oriented Software Architecture, A Pattern Language for Distributed Computing", John Wiley & Sons,,2007,S,149,B,o,,,,,,,,,,,,,
312,M. Kircher and P. Jain,"Pattern-Oriented Software Architecture, Patterns for Resource Management", John Wiley & Sons,,2013,S,149,B,o,,,,,,,,,,,,,
313,S. Apel and C. Kastner,An overview of feature-oriented software ¨ development.,"Journal of Object Technology, vol. 8, no. 5",,2009,S,149,B,o,,,,,,,,,,,,,
314,C. Prehofer,Feature-oriented programming: A fresh look at objects,European Conference on Object-Oriented Programming (ECOOP 97). Springer,,1997,S,149,B,o,,,,,,,,,,,,,
315,"K. W. Y. Au, Y. F. Zhou, Z. Huang, and D. Lie",Pscout: Analyzing the android permission specification,"Proceedings of the 2012 ACM Conference on Computer and Communications Security, CCS ’12",,2012,S,161,B,o,,,,,,,,,,,,,
316,"D. Auber, P. Mary, M. Mathiaut, J. Dubois, A. Lambert, D. Archambault, R. Bourqui, B. Pinaud, M. Delest, and G. MelanA˘gon",Tulip : a scalable graph visualization ~ framework," S. B. Yahia and J.-M. Petit, editors, EGC, volume RNTI-E-19 of Revue des Nouvelles Technologies de l’Information",,2010,S,161,B,o,,,,,,,,,,,,,
317,"S. Bugiel, L. Davi, A. Dmitrienko, T. Fischer, and A.-R. Sadeghi",Xmandroid: A new android evolution to mitigate privilege escalation attacks,"Technical Report TR-2011-04, Technische Universit¨ at Darmstadt",,2011,S,161,B,o,,,,,,,,,,,,,
318,"W. L. Chapman, J. Rozenblit, and A. T. Bahill.", System design is an NP-complete problem: Correspondence.," Syst. Eng., 4(3):222",,2001,S,161,B,o,,,,,,,,,,,,,
319,N. Elenkov., Android Security Internals: An In-Depth Guide to Android’s Security Architecture.," No Starch Press, San Francisco, CA, USA, 1st edition,",,2014,S,161,B,o,,,,,,,,,,,,,
320,"A. P. Felt, E. Chin, S. Hanna, D. Song, and D. Wagner.", Android permissions demystified.,"Proceedings of the 18th ACM Conference on Computer and Communications Security, CCS ’11, pages 627{638, New York, NY, USA,",,2011,S,161,B,o,,,,,,,,,,,,,
321,"R. Gallo, H. Kawakami, and R. Dahab.",FORTUNA - A Probabilistic Framework for Early Design Stages of Hardware-Based Secure Systems,"Proceedings of the 5th International Conference on Network and System Security (NSS 2011). IEEE,",,2011,S,161,B,o,,,,,,,,,,,,,
322,"M. C. Grace, Y. Zhou, Z. Wang, and X. Jiang.", Systematic detection of capability leaks in stock android smartphones.,NDSS. The Internet Society,,2012,S,161,B,o,,,,,,,,,,,,,
323,"S. Grivet, D. Auber, J.-P. Domenger, and G. Melan¸con.", Bubble Tree Drawing Algorithm,"International Conference on Computer Vision and Graphics, page to appear, Poland",,2004,S,161,B,o,,,,,,,,,,,,,
324,I. A. W. Group. IEEE Std 1471-2000,Recommended practice for architectural description of software-intensive systems.,"Technical report, IEEE",,2000,S,161,B,o,,,,,,,,,,,,,
325,J. Jurjens., UMLsec: Extending ¨ UML for secure systems development. ,"UML 2002 - The Unified Modeling Language, pages 412{425. Springer",,2002,S,161,B,o,,,,,,,,,,,,,
326,"C. Marforio, A. Francillon, and S. Capkun",Application collusion attack on the permission-based security model and its implications for modern smartphone systems,"Technical Report 724, ETH Zurich",,2011,S,161,B,o,,,,,,,,,,,,,
327,"S. Moshtari, A. Sami, and M. Azimi.",Using complexity metrics to improve software security,"Computer Fraud and Security, 2013(5):8{17",,2013,S,161,B,o,,,,,,,,,,,,,
328,N. Potlapally,Hardware security in practice: Challenges and opportunities.,"Hardware-Oriented Security and Trust (HOST), 2011 IEEE International Symposium on, pages 93{98. IEEE",,2011,S,161,B,o,,,,,,,,,,,,,
329,"R. Schlegel, K. Zhang, X. yong Zhou, M. Intwala, A. Kapadia, and X. Wang",Soundcomber: A stealthy and context-aware sound trojan for smartphones.,"NDSS,",,2011,S,161,B,o,,,,,,,,,,,,,
330,"W. Shin, S. Kwak, S. Kiyomoto, K. Fukushima, and T. Tanaka",A small but non-negligible flaw in the android permission scheme,"POLICY, pages 107{110. IEEE Computer Society",,2010,S,161,B,o,,,,,,,,,,,,,
331,"R. Terra, M. T. Valente, K. Czarnecki, and R. S. Bigonha.",Recommending refactorings to reverse software architecture erosion,"16th European Conference on Software Maintenance and Reengineering (CSMR), Early Research Achievements Track, pages 335{340",,2012,S,161,B,o,,,,,,,,,,,,,
332,"L. Wu, M. Grace, Y. Zhou, C. Wu, and X. Jiang",The impact of vendor customizations on android security,"Proceedings of the 2013 ACM SIGSAC Conference on Computer &#38; Communications Security, CCS ’13, pages 623{634, New York, NY, USA",,2013,S,161,B,o,,,,,,,,,,,,,
333,"X. Zhou, Y. Lee, N. Zhang, M. Naveed, and X. Wang.",The peril of fragmentation: Security hazards in android device driver customizations,"Proceedings of the 2014 IEEE Symposium on Security and Privacy, SP ’14, pages 409{423, Washington, DC, USA,",,2014,S,161,B,o,,,,,,,,,,,,,
334,S. Arzt et al.,"Flowdroid: Precise context, flow, field, objectsensitive and lifecycle-aware taint analysis for android apps.","ACM SIGPLAN Conference on Programming Language Design and Implementation, Edinburgh, United Kingdom",,2014,S,166,B,o,,,,,,,,,,,,,
335,K. W. Y. Au et al.,Pscout: analyzing the android permission specification,"ACM CCS, Raleigh, NC",,2012,S,166,B,o,,,,,,,,,,,,,
336,H. Bagheri et al.,Covert: Compositional analysis of android inter-app permission leakage.,IEEE Transactions on Software Engineering,,2015,S,166,B,o,,,,,,,,,,,,,
337,H. Bagheri et al.,"Practical, formal synthesis and automatic enforcement of security policies for android."," Int’l Conf. on Dependable Systems and Networks, Toulouse, France",,2016,S,166,B,o,,,,,,,,,,,,,
338,"H. Bagheri, E. Kang, S. Malek, and D. Jackson",Detection of design flaws in the android permission protocol through bounded verification,"FM 2015: Formal Methods, volume 9109 of Lecture Notes in Computer Science, pages 73–89",,2015,S,166,B,o,,,,,,,,,,,,,
339,S. Bugiel et al.,Flexible and Fine-grained Mandatory Access Control on Android for Diverse Security and Privacy Policies,"USENIX Security Symposium, Washington DC, August",,2013,S,166,B,o,,,,,,,,,,,,,
340,E. Chin et al,Analyzing inter-application communication in android," International Conference on Mobile Systems, Applications, and Services, Bethesda, Maryland",,2011,S,166,B,o,,,,,,,,,,,,,
341,K. Coogan et al. ,Automatic static unpacking of malware binaries,"Working Conf. on Reverse Engineering, Washington, DC",,2009,S,166,B,o,,,,,,,,,,,,,
