ID,RawPractice,Type,Theme,Component,Sub-theme,Sub-sub-theme,GuidelineID,NewGuidelineID,OccurrencyGuideline,WorkingGuidelines,GuidelineID,Guideline
132,"Use cache a mechanism like LRUCache to retain the data, keep the presenter stateless, and let it recreate with the creation of an activity or fragment.",G,MVP,P,CACHING,,"MVP7, MVP13","MVP5, MVP8","4, 2","Presenter should be stateless. Presenter's lifecycle should follow the lifecycle of the View, but not replicating the complexity of Android's components lifecycles.",,
181,"Do not create Activitylifecyclestyle callbacks in the Presenter interface. In this way, the presenter would be coupled in particular with the Activity lifecycle. The presenter shouldn’t have a so complex lifecycle.",B,MVP,P,,,MVP7,MVP5,4,"Presenter's lifecycle should follow the lifecycle of the View, but not replicating the complexity of Android's components lifecycles.",,
184,"No. Do not retain the presenter. I don’t like this solution mainly because I think that presenter is not something we should persist, it is not a data class, to be clear.",B,MVP,P,,,MVP7,MVP5,4,"Presenter's lifecycle should follow the lifecycle of the View, but not replicating the complexity of Android's components lifecycles.",,
182,Presenter has a 1to1 relation with the view. The presenter doesn’t make sense without a view. It comes with the view and goes when the view is destroyed. It manages one view at a time.,G,MVP,"V,P",,,MVP7,MVP5,4,"Presenter's lifecycle should follow the lifecycle of the View, but not replicating the complexity of Android's components lifecycles.",,
145,"In MVP, as projects grow, the presenter can become a huge class with a lot of methods, making it hard to maintain and understand. That happens because it is responsible for a lot of stuff: it has to handle UI Events, UI logic, business logic, networking and database queries. That violates the Single Responsibility Principle.",B,MVP,P,COMPLEX,,MVP10,MVP6,3,Presenter as bloat class with too many responsibilities.,,
241,"[MVP] The elephant in the room here is the presenter. It’s a god object. It deals with the models, it sends the data to the view, it holds the business logic (business logic are those gears :) ), and it goes to the database and Internet, fetches sensor data, etc. So yeah, better, but it could get way more better.",B,MVP,P,COMPLEX,,MVP10,MVP6,3,Presenter as bloat class with too many responsibilities.,,
265,"[MVP] One of the pitfalls of MVP appears when moving the UI logic to the Presenter: this becomes now an allknowing class, with thousands of lines of code. To solve this, split the code even more and remember to create classes that have only one responsibility and are unit testable.",M,MVP,P,COMPLEX,,MVP10,MVP6,3,Presenter as bloat class with too many responsibilities.,,
125,"The Presenter depends on the View interface and not directly on the Activity: in this way, we succeed in decoupling the presenter from the view implementation respecting the D of the SOLID principles. We can replace the concrete view without changing a line of code of the presenter. Furthermore, we can easily unittest presenter by creating a mock view.",G,MVP,"V,P",,,MVP11,MVP7,2,Presenter depends on View (not on Activities),,
179,"The View contract: Like I said before, the view is implemented by an Activity (or a Fragment). The presenter must depend on the View interface and not directly on the Activity.",G,MVP,"V,P",,,MVP11,MVP7,2,Presenter depends on View (not on Activities),,
183,"Do not save the state inside the presenter. I mean using a Bundle. I’m not saying that the presenter should be stateless because I’d be lying. In the use case I described before, for instance, the presenter should at least have the page number/offset somewhere.",B,MVP,P,,,MVP13,MVP5,2,Presenter should be stateless.,,
165,"In MVP (or at least, in our vision of MVP) it is only the view that holds the current state of itself. Think about a screen that shows a “Loading….” spinner: the Presenter sets such spinner to visible, and once the requested data is loaded the spinner is hidden. But what happens if, in the meantime, the presenter wants to know if the spinner is visible? It can either privately keep this information or query the view for it. Now, what if the screen has more and more features? Is the presenter going to keep the current “state” of every single button, view, list along with the business logic of the app? Well, if yes: the complexity to keep synchronised what the view is showing and what the presenter knows about the view will easily explode. Because an Android View is a very transient object, that could be destroyed at any given moment, and because the View is the state, it is hard to keep track and recreate exactly the last screen visualized to the user.",B,MVP,"V,P",,,MVP14,MVP8,2,Views are passive and should always manage and expose only their state.,,
175,"One of the biggest problems of Android is that views (Activities, Fragments,…) aren’t easy to test because of the framework complexity. To solve this problem, you should implement the Passive View pattern. The implementation of this pattern reduces the behavior of the view to the absolute minimum by using a controller, in our case, the presenter. For example, if you have a username/password form and a “submit” button, you don’t write the validation logic inside the view but inside the presenter. Your view should just collect the username and password and send them to the presenter.",M,MVP,"V,P",no logic in view,,MVP14,MVP8,2,Views are passive and should always manage and expose only their state.,,
4,Put the business logic in the presenters and not in the views/activities,G,GEN,DEV,,,MVP3,MVP9,2,Business logic in the Presenter,,
35,Put most of the logic in the Presenter,G,MVP,P,,,MVP3,MVP9,2,Business logic in the Presenter,,
267,"[MVP] Presenter: In the implementation of the constructor, the Presenter will call the setPresenter method of the View. This can be simplified when using a dependency injection framework that allows the injection of the Presenters in the corresponding views, reducing the coupling of the classes.",G,MVP,P,,,MVP9,MVP10,2,Inject the dependency to the Presenter into the View when instantiating the Presenter (less coupling and less null checks),,
131,"Introducing a method in presenter which accepts the view reference requires null checks at many places, so avoid it if you can and instead use constructor.",B,MVP,P,,,MVP9,MVP10,2,Inject the dependency to the Presenter into the View when instantiating the Presenter (less coupling and less null checks),,
215,"How does a “ChildPresenter” communicate with its “ParentPresenter”? From my point of view such ParentChild relations are a code smell, because they introduce a direct coupling between both Parent and Child, which leads to code that is hard to read, hard to maintain, where changing requirement affects a lot of components (hence it’s a virtually impossible task in large systems) and last but not least introduces shared state that is hard to predict and even harder to reproduce and debug.",B,GEN,DEV,,,MVP15,MVP11,1,Do not let Presenters communicate with each other.,,
109,A comment on MVP (Model View Presenter) from previous example: I found tricky to avoid leaks due to activities and fragments being recreated so I used a poor man solution: retain fragments.,G,MVP,P,,,MVP8,MVP12,1,"If necessary, retain fragments for avoiding memory leaks due to configuration changes in the activities ",,
